Sample index	Multipacting max (uA)	Pressure max (mBar)	P transmise moy (W)	NI9205_E1	NI9205_E2	NI9205_E3	NI9205_E4	NI9205_E5	NI9205_E6	NI9205_E7	NI9205_MP1l	NI9205_MP2l	NI9205_MP3l	NI9205_MP4l	NI9205_MP5l	NI9205_MP6l	NI9205_MP7l	NI9205_Power1	NI9205_Power2	NI9205_Arc1	NI9205_Penning1	NI9205_Penning2	NI9205_Penning	NI9205_MP8l	T1	T2	T3	T4
1149	9.142	0.0000001537	192.4	105.4	0.112	0.1493	0.1545	0.1183	0.0865	0.03607	9.142	8.157	7.829	9.799	8.157	25.23	9.142	345.3	150.8	0.8997	0.0000001537	0.0000002142	0.004761	7.854	1413.08	1413.08	1413.08	1413.08
1150	12.1	0.0000001561	194.6	107.4	0.1128	0.1506	0.1559	0.1194	0.08722	0.03678	12.1	10.78	9.799	11.44	11.44	27.52	10.13	352.5	153.1	0.9053	0.0000001561	0.0000002169	0.004761	8.346	1413.08	1413.08	1413.08	1413.08
1151	8.814	0.0000001585	198.3	109	0.1139	0.1518	0.1573	0.1204	0.08806	0.03729	8.814	8.157	7.829	9.799	8.157	27.2	9.799	357.7	155.4	0.9667	0.0000001585	0.0000002182	0.004761	7.69	1413.08	1413.08	1413.08	1413.08
1152	10.78	0.000000161	200.9	111	0.1149	0.1528	0.1582	0.1212	0.08873	0.03797	10.78	10.13	10.13	11.44	10.78	29.17	11.11	362.7	157.7	0.8905	0.000000161	0.0000002206	0.004761	8.51	1413.08	1413.08	1413.08	1413.08
1153	9.142	0.0000001633	204.7	112.6	0.1152	0.1542	0.1596	0.1219	0.08943	0.03842	9.142	8.157	7.829	9.799	9.47	28.51	12.1	369.5	160.7	0.9017	0.0000001633	0.0000002232	0.004761	8.51	1413.08	1413.08	1413.08	1413.08
1154	9.799	0.0000001658	208.3	114.3	0.1158	0.155	0.1607	0.1229	0.09033	0.03905	9.799	9.142	9.142	10.78	9.142	29.17	11.11	372.8	162.3	0.884	0.0000001658	0.000000226	0.004761	8.838	1413.08	1413.08	1413.08	1413.08
1155	8.814	0.0000001683	210.1	116.3	0.1171	0.1561	0.1617	0.1236	0.09101	0.03974	8.814	8.157	7.829	9.47	8.486	27.2	9.47	378.4	164.6	0.9102	0.0000001683	0.0000002281	0.004761	7.69	1413.08	1413.08	1413.08	1413.08
1156	11.44	0.0000001857	212.3	121.4	0.1185	0.1589	0.1643	0.1257	0.09291	0.0417	11.44	10.78	10.13	11.77	10.78	32.12	10.13	383.3	167.2	0.8846	0.0000001857	0.0000002451	0.004761	8.346	1413.08	1413.08	1413.08	1413.08
1157	9.47	0.0000001897	217.1	123.7	0.1193	0.1602	0.1655	0.127	0.09376	0.04245	9.47	7.501	7.501	9.142	8.486	32.45	8.814	393.8	171.5	0.8856	0.0000001897	0.0000002493	0.004761	7.69	1413.08	1413.08	1413.08	1413.08
1158	9.47	0.000000195	221.5	126.3	0.1201	0.1618	0.1674	0.128	0.09474	0.04324	9.47	8.486	7.829	9.47	8.486	31.14	8.486	401	174.8	0.8826	0.000000195	0.0000002562	0.004761	7.69	1413.08	1413.08	1413.08	1413.08
