Sample index	Multipacting max (uA)	Pressure max (mBar)	P transmise moy (W)	NI9205_E1	NI9205_E2	NI9205_E3	NI9205_E4	NI9205_E5	NI9205_E6	NI9205_E7	NI9205_MP1l	NI9205_MP2l	NI9205_MP3l	NI9205_MP4l	NI9205_MP5l	NI9205_MP6l	NI9205_MP7l	NI9205_Power1	NI9205_Power2	NI9205_Arc1	NI9205_Penning1	NI9205_Penning2	NI9205_Penning	NI9205_MP8l	T1	T2	T3	T4
556	10.78	0.00000007916	476.7	254.9	0.1105	0.1187	0.1098	0.09691	0.09945	0.09968	10.78	9.47	9.142	10.46	9.799	10.13	11.11	484.3	6.526	0.9706	0.00000007916	0.000000154	0.004761	8.838	1413.09	1413.09	1413.09	1413.09
557	8.814	0.00000008876	469.5	254	0.1094	0.1174	0.1071	0.09576	0.09831	0.1002	8.814	7.501	7.501	9.142	9.799	7.829	10.13	480.4	6.198	0.9792	0.00000008876	0.0000001625	0.004761	8.346	1413.09	1413.09	1413.09	1413.09
558	8.157	0.00000009724	461.6	251.8	0.1084	0.1162	0.1054	0.09466	0.09733	0.09799	8.157	7.501	7.173	8.814	11.44	7.829	9.47	470.9	6.198	0.9591	0.00000009724	0.0000001723	0.004761	8.182	1413.09	1413.09	1413.09	1413.09
559	9.799	0.0000001066	444.9	248.8	0.1074	0.1154	0.1043	0.09373	0.09626	0.09702	9.799	8.814	9.47	10.78	12.75	9.142	11.44	463	6.198	0.9247	0.0000001066	0.000000182	0.004761	8.674	1413.09	1413.09	1413.09	1413.09
560	8.814	0.0000001147	429.7	247.3	0.1066	0.1144	0.1036	0.09302	0.09561	0.09637	8.814	7.829	8.157	9.47	13.74	7.829	9.142	439.7	6.526	0.945	0.0000001147	0.0000001899	0.004761	8.182	1413.09	1413.09	1413.09	1413.09
561	8.486	0.0000001392	424.3	242	0.1045	0.1122	0.1014	0.09065	0.0935	0.09433	8.486	7.501	7.173	8.157	17.68	7.829	9.142	432.8	6.198	0.9503	0.0000001392	0.0000002153	0.004761	8.182	1413.09	1413.09	1413.09	1413.09
562	11.11	0.0000001501	412.7	239.8	0.1035	0.1115	0.1003	0.08986	0.09254	0.09343	11.11	10.13	9.799	11.44	21.62	9.799	9.799	426.9	5.87	0.925	0.0000001501	0.0000002258	0.004761	8.51	1413.09	1413.09	1413.09	1413.09
563	10.13	0.0000001558	399	237.1	0.1023	0.1106	0.1002	0.08979	0.09199	0.09225	10.13	9.799	8.814	10.78	20.96	9.799	10.78	408.9	5.87	0.947	0.0000001558	0.0000002324	0.004761	8.51	1413.09	1413.09	1413.09	1413.09
564	11.11	0.0000001645	398.3	234.2	0.1013	0.1098	0.09948	0.08876	0.09159	0.09145	11.11	10.46	9.799	11.44	23.59	10.13	10.78	406.9	5.542	0.9023	0.0000001645	0.0000002413	0.004761	8.346	1413.09	1413.09	1413.09	1413.09
565	8.814	0.0000001808	393.6	233.2	0.1006	0.1087	0.09823	0.08771	0.09018	0.09065	8.814	8.486	8.157	9.142	24.24	7.829	9.47	406.9	5.542	0.9171	0.0000001808	0.0000002569	0.004761	8.346	1413.09	1413.09	1413.09	1413.09
